"sku","price","Quantity",
"TA-11922","25","0",
"TA-11931","25","0",
"TA-11932STR","25","0",
"TA-11941","25","0",
"TA-11942","25","0",
"TA-11943STR","25","0",
"TA-11944","25","0",
"TA-11950","25","0",
"TA-11981","25","0",
"TA-11982STR","25","0",
"TA-11991","25","0",
"TA-11992STR","25","0",
"TA-15021STR","25","0",
"TA-15022STR","25","0",
"TA-15030","25","0",
"TA-15031","25","0",
"TA-15032","25","0",
"TA-15051","25","0",
"TA-15052","25","0",
"TA-15060","25","0",
"TA-15065","25","0",
"TA-15080","25","0",
"TA-15130STR","25","0",
"TA-15141STR","25","0",
"TA-15146","25","0",
"TA-15150","25","0",
"TA-15151","25","0",
"TA-15152STR","25","0",
"TA-15170STR","25","0",
"TA-15180","25","0",
"TA-15200STR","25","0",
"TA-15212","25","0",
"TA-15280","25","0",
"TA-15311","25","0",
"TA-15340STR","25","0",
"TA-15342STR","25","0",
"TA-15350STR","25","0",
"TA-15351STR","25","0",
"TA-15352STR","25","0",
"TA-15362STR","25","0",
"TA-15371STR","25","0",
"TA-15372STR","25","0",
"TA-15511","25","0",
"TA-15512STR","25","0",
"TA-15911","25","0",
"TA-15912STR","25","0",
"TA-1988-101","25","0",
"TA-1988-102","25","0",
"TA-1988-104","25","0",
"TA-250310","25","0",
"TA-33016","25","0",
"TA-33020","25","0",
"TA-33025","25","0",
"TA-33031","25","0",
"TA-33035","25","0",
"TA-33050","25","0",
"TA-33071","25","0",
"TA-33114","25","0",
"TA-33118","25","0",
"TA-33171","25","0",
"TA-33173","25","0",
"TA-33202","25","0",
"TA-33335","25","0",
"TA-44176","25","0",
"TA-510038","25","0",
"TA-512003","25","0",
"TA-512009","25","0",
"TA-512018","25","0",
"TA-512020","25","0",
"TA-512118","25","0",
"TA-512123","25","0",
"TA-512155","25","0",
"TA-512156","25","0",
"TA-512161","25","0",
"TA-512166","25","0",
"TA-512170","25","0",
"TA-512174","25","0",
"TA-512178","25","0",
"TA-512195","25","0",
"TA-512208","25","0",
"TA-512221","25","0",
"TA-512240","25","0",
"TA-512247","25","0",
"TA-512285","25","0",
"TA-512303","25","0",
"TA-512347","25","0",
"TA-513035","25","0",
"TA-513080","25","0",
"TA-513105","25","0",
"TA-513122","25","0",
"TA-513214","25","0",
"TA-53140","25","0",
"TA-53141","25","0",
"TA-AC1000110","25","0",
"TA-AC1000130","25","0",
"TA-AC1000133","25","0",
"TA-AC1000140","25","0",
"TA-AC1000140C","25","0",
"TA-AC1000140_1","25","0",
"TA-AC1000141","25","0",
"TA-AC1000141C","25","0",
"TA-AC1000141_1","25","0",
"TA-AC1000143","25","0",
"TA-AC1000145","25","0",
"TA-AC1000149","25","0",
"TA-AC1000149_1","25","0",
"TA-AC1000150","25","0",
"TA-AC1000150C","25","0",
"TA-AC1000154","25","0",
"TA-AC1000156","25","0",
"TA-AC1000156C","25","0",
"TA-AC1000156_1","25","0",
"TA-AC1000157","25","0",
"TA-AC1000157C","25","0",
"TA-AC1000159","25","0",
"TA-AC1000159C","25","0",
"TA-AC1000159_1","25","0",
"TA-AC1000160","25","0",
"TA-AC1000160_1","25","0",
"TA-AC1000162","25","0",
"TA-AC1000162C","25","0",
"TA-AC1000163","25","0",
"TA-AC1000163C","25","0",
"TA-AC1000172","25","0",
"TA-AC1000172C","25","0",
"TA-AC1000177","25","0",
"TA-AC1000177C","25","0",
"TA-AC1000177_1","25","0",
"TA-AC1000177_2","25","0",
"TA-AC1000178","25","0",
"TA-AC1000178C","25","0",
"TA-AC1000178OE","25","0",
"TA-AC1000178R","25","0",
"TA-AC1000179","25","0",
"TA-AC1000179C","25","0",
"TA-AC1000179PP","25","0",
"TA-AC1000180","25","0",
"TA-AC1000180C","25","0",
"TA-AC1000180OE","25","0",
"TA-AC1000180_1","25","0",
"TA-AC1000182R","25","0",
"TA-AC1000183","25","0",
